analysis_id,6endb81696tl0gs
gene_symbol,Nr0b2
mouse_life_stage,Early adult
mouse_strain,B6J
gene_accession_id,MGI:1346344
pvalue,0.2775006
parameter_name,Center average speed
parameter_id,HRWLLA_OFD_017_001
