gene_symbol,Ppp6c
pvalue,0.6844775
gene_accession_id,MGI:1915107
parameter_name,CV
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
analysis_id,btl4w889ntwtsp8
