parameter_name,Center average speed
analysis_id,543m4l8eo1zge5a
mouse_strain,C57BL
gene_symbol,Mapkap1
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
pvalue,1.285556
parameter_id,IMPC_OFD_017_001
