parameter_name,HR
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
gene_symbol,Exd1
mouse_strain,C57BL
analysis_id,9z83f116c8vt11i
parameter_id,JAXLA_ECG_002_001
pvalue,0.1358101
