gene_symbol,Pum1
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
analysis_id,36l095wct5he330
pvalue,0.7732431
mouse_strain,C57BL
parameter_id,IMPC_GEO_048_002
parameter_name,Anophthalmia
