parameter_name,Delayed embryonic development
gene_symbol,Mapkap1
mouse_strain,C57BL
analysis_id,2y63fvy61373d56
pvalue,0.1463786
parameter_id,IMPC_GEL_063_001
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
