parameter_name,Total holepokes
mouse_strain,C57BL
pvalue,0.1212152
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
analysis_id,ea2thj3ggirk0a8
gene_symbol,Psd4
gene_accession_id,MGI:2674093
