gene_symbol,Kifap3
mouse_strain,C57BL
analysis_id,ilr6v91u0iu4q98
pvalue,0.4941254
gene_accession_id,MGI:107566
parameter_name,Gait
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_033_001
