analysis_id,09a86gr1bm643sh
gene_accession_id,MGI:1914050
gene_symbol,Trp53rkb
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.207966
parameter_id,ESLIM_011_001_002
parameter_name,PP1 startle magnitude
