parameter_name,B1B Cells
pvalue,0.6835309
mouse_strain,C57BL
analysis_id,o2d675bac3vwbd3
gene_symbol,Usp37
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
parameter_id,IMPC_IMM_064_001
