analysis_id,1695x4b02bzon87
mouse_strain,C57BL
gene_accession_id,MGI:1927379
parameter_id,ESLIM_011_001_010
pvalue,1.467799
gene_symbol,Rhbg
parameter_name,PP4 + pulse startle magnitude
mouse_life_stage,Early adult
