analysis_id,3s137p0z29185by
pvalue,0.7374938
parameter_name,Hemoglobin
gene_accession_id,MGI:1346344
mouse_strain,B6J
mouse_life_stage,Early adult
gene_symbol,Nr0b2
parameter_id,IMPC_HEM_003_001
