gene_symbol,Arpc5l
analysis_id,52681i0618jit22
mouse_strain,C57BL
pvalue,0.1509463
gene_accession_id,MGI:1921442
parameter_name,B cell number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_034_001
