analysis_id,8gqa3u9rzf34527
pvalue,0.5198645
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_015_001
