analysis_id,5rv33iq29r97zki
parameter_name,DN CD44+CD62L- NKT cells
pvalue,0.1551964
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_IMM_046_001
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
