analysis_id,2i6jf5cydz9ed0g
pvalue,0.7733266
mouse_life_stage,Early adult
mouse_strain,C56BL
parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
gene_accession_id,MGI:1915678
gene_symbol,Steap3
