analysis_id,2121645hf23y8y0
pvalue,0.5545638
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
mouse_strain,C57BL
gene_symbol,Npbwr1
