parameter_name,Tremor
mouse_strain,C57BL
analysis_id,2671u76vsa7a31j
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
parameter_id,TCPLA_CSD_030_001
pvalue,0.06050522
