gene_symbol,Sdcbp2
parameter_id,MGP_IMM_129_001
mouse_life_stage,Early adult
pvalue,0.9718768
parameter_name,CD11b-high cDC - % of CD45+
analysis_id,875g3vokgsw51if
gene_accession_id,MGI:2385156
mouse_strain,C57BL
