analysis_id,l4gmmu6gtpi24i3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:106659
pvalue,0.5833613
gene_symbol,Sprr1b
parameter_name,Fat/Body weight
