gene_symbol,Hpca
mouse_strain,C57BL
pvalue,0.256218
analysis_id,151dg2455p45b4k
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
parameter_name,KLRG1+ gd T cells - % of CD45+
parameter_id,MGP_IMM_089_001
