analysis_id,o674j6hbz937f93
pvalue,0.07293716
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Calcium
