analysis_id,u638z143za6ce5y
parameter_name,Eyelid morphology
mouse_life_stage,Early adult
gene_symbol,Psmd14
parameter_id,IMPC_EYE_004_001
pvalue,0.3609484
mouse_strain,C57BL
gene_accession_id,MGI:1913284
