analysis_id,o5s9ws93u7z0y81
mouse_strain,C57BL
gene_symbol,Npbwr1
gene_accession_id,MGI:891989
parameter_id,MGP_MLN_093_001
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.8344283
