analysis_id,3ke6hje9g7a29i8
gene_symbol,Fgb
parameter_id,MGP_PBI_018_001
mouse_strain,C57BL
mouse_life_stage,E15.5
pvalue,0.6095505
gene_accession_id,MGI:99501
parameter_name,Ly6Clow monocyte percentage
