analysis_id,8g05i6yi879js6f
mouse_strain,C57BL
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_symbol,TOX
parameter_id,IMPC_FEA_106_001
gene_accession_id,MGI:2181659
pvalue,0.08228557
mouse_life_stage,Early adult
