gene_symbol,Rap2b
mouse_strain,C57BL
pvalue,0.3029439
parameter_id,IMPC_CSD_036_001
mouse_life_stage,Early adult
analysis_id,e36bh312p0a3c4u
gene_accession_id,MGI:1921262
parameter_name,Startle response
