parameter_name,DN CD25- NKT cells
gene_symbol,Rab17
pvalue,0.468892
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
parameter_id,IMPC_IMM_025_001
analysis_id,8g5i43vfmrowyau
