gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
pvalue,0.5095607
mouse_strain,C57BL
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
parameter_name,Right kidney weight
analysis_id,4pd3tm23fo0337p
