analysis_id,22rr41p279449kf
mouse_life_stage,Early adult
parameter_name,Startle response
parameter_id,ESLIM_008_001_013
gene_symbol,Fpgs
pvalue,0.4155244
mouse_strain,C57BL
gene_accession_id,MGI:95576
