analysis_id,s97157ao2m564a3
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_name,CD4+ alpha beta T cell percentage
parameter_id,MGP_PBI_003_001
pvalue,0.8316074
