analysis_id,12jkvy3tr9a06ue
gene_accession_id,MGI:107414
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP3
mouse_life_stage,Early adult
pvalue,0.9671315
gene_symbol,Tnfsf10
parameter_id,ESLIM_011_001_703
