gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
parameter_name,Effector NK cells - % of NK cells
analysis_id,q17t698oa4sf9f6
parameter_id,MGP_MLN_032_001
pvalue,0.7125767
mouse_life_stage,Early adult
mouse_strain,C57BL
