analysis_id,l1l09mln0ox4839
parameter_name,Tibia length
pvalue,0.7605737
gene_symbol,Steap3
parameter_id,TCPLA_XRY_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915678
