analysis_id,9j16m8at7oa24x6
pvalue,0.2850929
parameter_name,Ly6Clow monocyte number
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914944
parameter_id,MGP_PBI_038_001
gene_symbol,Ift74
