parameter_name,Center distance travelled
mouse_life_stage,Early adult
pvalue,0.3224082
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
gene_symbol,Rab13
gene_accession_id,MGI:1927232
analysis_id,58vk49kh7r819cg
