analysis_id,a0c4mv286j5x56z
gene_symbol,Snap23
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:109356
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_004_002
pvalue,0.789538
