gene_symbol,Wars2
analysis_id,o6d81g32ozdii2w
pvalue,0.5001077
mouse_strain,C57BL
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
parameter_name,Follicular B Cells (CD21/35+)
parameter_id,IMPC_IMM_067_001
