parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:1920344
mouse_strain,C57BL
analysis_id,905m0wgcm3jt9k6
mouse_life_stage,Early adult
parameter_name,Placenta Morphology
pvalue,0.7694986
gene_symbol,Sgip1
