gene_symbol,Lurap1
gene_accession_id,MGI:1915325
parameter_name,6kHz-evoked ABR Threshold
mouse_strain,C57BL
pvalue,0.8774332
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_004_001
analysis_id,1h55jzd8gmegzhp
