gene_symbol,Kcns1
mouse_life_stage,Early adult
parameter_name,QT
mouse_strain,C56BL
analysis_id,jma8kg7m9vym6m9
pvalue,0.7089213
parameter_id,IMPC_ECG_028_001
gene_accession_id,MGI:1197019
