parameter_name,Whole arena average speed
parameter_id,ESLIM_007_001_005
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.08794154
gene_symbol,Dmap1
analysis_id,a97wi8474ya741k
