gene_symbol,Pglyrp3
analysis_id,ht7g553s8k7ixco
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_078_001
parameter_name,Vocalization
mouse_strain,C57BL
pvalue,0.7951191
