gene_symbol,Ifi44
gene_accession_id,MGI:2443016
parameter_name,Tibia length
pvalue,0.9580613
parameter_id,IMPC_XRY_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1d5vo966241dwvn
