analysis_id,49ho6e00k0xo84e
mouse_life_stage,Early adult
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
parameter_id,IMPC_IMM_050_001
pvalue,0.361271
parameter_name,Neutrophils
mouse_strain,C57BL
