pvalue,2.603463e-05
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,9172kp9e12d58e3
parameter_id,IMPC_HEM_008_001
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
parameter_name,Platelet count
