parameter_name,HR
mouse_life_stage,Early adult
pvalue,0.973509
gene_accession_id,MGI:1919107
mouse_strain,C57BL
parameter_id,JAXLA_ECG_002_001
analysis_id,ow976d37f7m2zg0
gene_symbol,Slc17a9
