gene_symbol,Snrpb2
parameter_name,Mean-cell-volume
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
mouse_strain,C57BL
parameter_id,M-G-P_016_001_005
pvalue,0.8491566
analysis_id,3p3759pq6ujqjuc
