analysis_id,yieg2e6b677fk7z
pvalue,0.4626942
gene_symbol,Ahctf1
mouse_strain,C57BL
parameter_name,Mean right eye lens density
gene_accession_id,MGI:1915033
parameter_id,IMPC_EYE_059_001
mouse_life_stage,Early adult
