analysis_id,ysejqk0r29l35q8
gene_symbol,Gfi1b
pvalue,0.4609332
parameter_name,Head coat/hair presence
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_CSD_015_001
gene_accession_id,MGI:1276578
