analysis_id,7948j84198393r2
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
parameter_id,JAX_OFD_012_001
parameter_name,Periphery permanence time
mouse_strain,C57BL
gene_symbol,Ncaph
pvalue,0.3080642
