analysis_id,065j7r6ou6uuum5
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_name,Alanine aminotransferase
mouse_life_stage,Early adult
pvalue,0.4929346
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
