analysis_id,ipd4vdazgwbm129
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_id,IMPC_CBC_024_001
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0.1473831
parameter_name,UIBC (unsaturated iron binding capacity)
