parameter_name,Lumbar processes
parameter_id,IMPC_XRY_065_001
gene_accession_id,MGI:1913284
analysis_id,492c76b7wb5790a
pvalue,0.9864484
gene_symbol,Psmd14
mouse_strain,C57BL
mouse_life_stage,Early adult
