parameter_id,HMGULA_SHI_009_001
pvalue,0.6760603
gene_accession_id,MGI:99605
analysis_id,m5dd45xo1mg3xg2
parameter_name,Startle response
gene_symbol,Cntfr
mouse_life_stage,Early adult
mouse_strain,C57BL
