analysis_id,70oil3p193xb1kt
pvalue,0.5144939
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
parameter_name,CD8+ alpha beta T cell percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_004_001
