parameter_name,Limb grasp
parameter_id,JAXLA_CSD_039_001
analysis_id,5tr8moen8a7745x
pvalue,0.1041762
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
mouse_strain,C57BL
mouse_life_stage,Early adult
