parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:107566
pvalue,0.09471163
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Kifap3
parameter_name,BMC/Body weight
analysis_id,r496z8348jwl43z
