gene_symbol,Opn3
parameter_id,IMPC_GEO_011_001
mouse_life_stage,Early adult
parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:1338022
mouse_strain,C57BL
analysis_id,18y94ch810t3w02
pvalue,0.7074544
