gene_symbol,Dhdds
parameter_id,IMPC_XRY_065_001
mouse_life_stage,Early adult
analysis_id,x90s915v3ok910c
pvalue,0.633404
gene_accession_id,MGI:1914672
parameter_name,Lumbar processes
mouse_strain,C57BL
