mouse_strain,129SV
parameter_name,LDL-cholesterol
gene_symbol,Zmynd8
parameter_id,IMPC_CBC_025_001
gene_accession_id,MGI:1918025
pvalue,0.6694322
mouse_life_stage,Early adult
analysis_id,f88w7652ybw5s1f
