analysis_id,yh1x63u51z5519q
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
gene_symbol,Ola1
pvalue,0.8421786
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
mouse_strain,C57BL
