parameter_name,Hindlimbs - shape
gene_symbol,Wars2
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_021_001
pvalue,0.6320806
mouse_strain,C57BL
analysis_id,4m992vt5d62xpg1
gene_accession_id,MGI:1917810
