parameter_id,IMPC_HWT_008_001
analysis_id,g80xvg67a13p51s
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zcchc2
pvalue,0.8278707
parameter_name,Heart weight
gene_accession_id,MGI:2444114
